Name,Region,Area(km2),Population,Density(/km2),latitude,longitude,0_to_24,25_to_64,65_and_over
BUKIT MERAH,Central,14.34,151980.0,11000.0,1.2704395,103.82831840176755,32620,87510,32470
CHOA CHU KANG,West,6.11,190890.0,30000.0,1.3847493,103.7445341,57290,114980,18830
BUKIT TIMAH,Central,17.53,77430.0,4400.0,1.329411,103.802078,22480,42530,12710
CENTRAL WATER CATCHMENT,North,37.15,0.0,0.0,1.3757082999999999,103.8017434436911,0,0,0
CHANGI,East,40.61,1830.0,80.62,1.35107955,103.99006409583149,590,1070,130
TENGAH,West,7.4,10.0,1.4,1.3624531,103.72504010422139,0,0,0
PASIR RIS,East,15.02,148020.0,9600.0,1.3730307,103.949255,43790,89120,15300
SEMBAWANG,North,12.34,95920.0,8400.0,1.4490928,103.8200555,29350,58390,8330
BEDOK,East,21.69,279380.0,13000.0,1.3239765,103.930216,66260,162390,51320
BOON LAY,West,8.23,30.0,3.6,1.313735,103.70677,0,0,0
WESTERN WATER CATCHMENT,West,69.46,720.0,13.0,1.3664522,103.6810305,280,390,10
YISHUN,North,21.24,220320.0,10100.0,1.4293839,103.8350282,59200,134550,27060
DOWNTOWN CORE,Central,4.34,2720.0,680.0,1.28747505,103.85603322292744,400,1780,320
NEWTON,Central,2.07,8030.0,3800.0,1.31318325,103.83804024301281,2150,4750,1100
ORCHARD,Central,0.96,990.0,960.3,1.30512,103.832131,200,550,150
WOODLANDS,North,13.59,254730.0,18700.0,1.436897,103.786216,79000,152140,23860
MARINA SOUTH,Central,1.62,0.0,0.0,1.276998,103.8615002,0,0,0
JURONG EAST,West,17.83,79240.0,4400.0,1.333108,103.7422939,18520,46660,14050
LIM CHU KANG,North,17.3,110.0,5.2,1.4342172,103.7149872,20,40,10
BUKIT PANJANG,West,8.99,139280.0,15000.0,1.380833,103.7625,39680,83580,16440
MARINE PARADE,Central,6.12,46390.0,8000.0,1.3026889,103.9073952,11550,25870,9030
NORTH-EASTERN ISLANDS,North-East,42.88,50.0,1.2,1.3828816000000002,104.05072579821655,0,0,0
PIONEER,West,12.1,90.0,8.3,1.317788,103.664135,0,0,0
QUEENSTOWN,Central,20.43,96340.0,4400.0,1.2946226,103.8060366,21610,55020,19840
SOUTHERN ISLANDS,Central,6.07,1800.0,244.0,1.19918215,103.76024922122228,520,1230,130
TUAS,West,30.04,70.0,2.3,1.3293722,103.6482364,0,0,0
KALLANG,Central,9.17,101520.0,11000.0,1.310759,103.866262,21580,59620,20740
SIMPANG,North,5.13,0.0,0.0,1.4452954,103.8497425,0,0,0
TAMPINES,East,20.89,256730.0,12400.0,1.3546528,103.9435712,67130,154530,35360
WESTERN ISLANDS,West,39.47,10.0,0.25,1.250883,103.68788337164159,0,0,0
STRAITS VIEW,Central,0.77,0.0,0.0,1.2557081,103.86222821751517,0,0,0
BISHAN,Central,7.62,88010.0,12000.0,1.3509859,103.84825507492937,21440,51480,15310
BUKIT BATOK,West,11.13,153740.0,14000.0,1.3490572,103.7495906,40220,94010,19910
CHANGI BAY,East,1.7,0.0,0.0,1.3168496,104.0206494,0,0,0
CLEMENTI,West,9.49,92420.0,9800.0,1.3151003,103.7652311,22130,52670,18110
GEYLANG,Central,9.64,110200.0,11400.0,1.3181862,103.8870563,24380,65800,20340
NOVENA,Central,8.98,49210.0,5600.0,1.3205257000000001,103.84388133927948,12330,28610,8450
PAYA LEBAR,East,11.69,40.0,3.4,1.350399,103.901299,0,0,0
SELETAR,North-East,10.25,250.0,26.3,1.4098488,103.8773789,90,150,20
SENGKANG,North-East,10.59,244600.0,23000.0,1.3916536000000002,103.89536361089395,76330,146330,22250
SERANGOON,North-East,10.1,116310.0,11500.0,1.3498624,103.8737292,27350,67790,21350
ANG MO KIO,North-East,13.94,163950.0,13400.0,1.3700803,103.8495228,35880,94470,34080
TOA PAYOH,Central,8.17,120650.0,14300.0,1.3353906,103.8497414,26610,69560,24890
MARINA EAST,Central,1.82,0.0,0.0,1.288624,103.869827,0,0,0
MUSEUM,Central,0.83,420.0,480.0,1.2960522,103.84759915065096,90,330,10
HOUGANG,North-East,13.93,226240.0,16000.0,1.3706821,103.8925450111407,55560,136430,35120
MANDAI,North,11.77,2090.0,180.2,1.4235346,103.8033499,610,1200,250
PUNGGOL,North-East,9.34,170560.0,17800.0,1.4052585,103.9023302,57080,101510,12330
JURONG WEST,West,14.69,264860.0,18000.0,1.3396365,103.7073387,74500,159060,31450
SUNGEI KADUT,North,15.99,780.0,53.2,1.4149971,103.7533106,170,380,150
TANGLIN,Central,7.63,21630.0,2800.0,1.3060443,103.8152804,6110,12520,3080
OUTRAM,Central,1.37,18960.0,13500.0,1.2828695,103.8378603,3570,10780,4700
RIVER VALLEY,Central,1.48,10250.0,6800.0,1.29758205,103.83651418442432,2590,6280,1310
ROCHOR,Central,1.62,13340.0,8300.0,1.30326565,103.85242609639883,2420,7690,2750
SINGAPORE RIVER,Central,0.96,3070.0,3000.0,1.28917835,103.84515431766008,770,1920,250
